round_id,variant,mean_score,delta_vs_submitted,mean_kl,mean_acc_pct,params_json
a8be24e1-bd48-49bb-aa46-c5593da79f6f,soften_t110,23.424775,0.307175,0.484704,95.937500,"{""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,current,23.131112,0.013512,0.489033,95.937500,{}
a8be24e1-bd48-49bb-aa46-c5593da79f6f,entropy_only,23.131112,0.013512,0.489033,95.937500,"{""CORRECTION_WEIGHT_COVERAGE"": 1.0, ""CORRECTION_WEIGHT_VOLATILITY"": 0.0, ""PHASE2_WEIGHT_COAST"": 0.0, ""PHASE2_WEIGHT_CONFLICT"": 0.0, ""PHASE2_WEIGHT_ENTROPY"": 1.0, ""PHASE2_WEIGHT_FOREST"": 0.0, ""PRIOR_BLEND"": 0.4}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,heuristic_mix,23.131112,0.013512,0.489033,95.937500,"{""CORRECTION_WEIGHT_COVERAGE"": 0.75, ""CORRECTION_WEIGHT_VOLATILITY"": 0.25, ""PHASE2_WEIGHT_COAST"": 0.2, ""PHASE2_WEIGHT_CONFLICT"": 0.08, ""PHASE2_WEIGHT_ENTROPY"": 0.6, ""PHASE2_WEIGHT_FOREST"": 0.12, ""PRIOR_BLEND"": 0.65}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,sharpen_t090,21.873701,-1.243899,0.507827,95.937500,"{""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,sharpen_t080,19.327554,-3.790046,0.549306,95.937500,"{""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,alpha0_t090,5.179075,-17.938525,0.990519,95.937500,"{""DIRICHLET_ALPHA"": 0.0, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,alpha0_t080_floor1e4,0.015668,-23.101932,2.939300,95.937500,"{""DIRICHLET_ALPHA"": 0.0, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8, ""PROB_FLOOR"": 0.0001}"
