round_id,trial,mean_score,mean_kl,mean_acc_pct,params_json
a8be24e1-bd48-49bb-aa46-c5593da79f6f,166,23.391698,0.485157,95.937500,"{""DIRICHLET_ALPHA"": 0.11354036684317362, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0696577534398717, ""PROB_FLOOR"": 0.0027531425984240352}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,257,23.388870,0.485259,95.937500,"{""DIRICHLET_ALPHA"": 0.1588358287907911, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8942517870248813, ""PROB_FLOOR"": 0.0003595584421477651}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,165,23.387591,0.485286,95.937500,"{""DIRICHLET_ALPHA"": 0.08589139643777034, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1109732226084126, ""PROB_FLOOR"": 0.006472828651892822}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,287,23.387039,0.485229,95.937500,"{""DIRICHLET_ALPHA"": 0.13408467684386302, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0016210780149222, ""PROB_FLOOR"": 0.00508098302748381}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,83,23.381738,0.485292,95.937500,"{""DIRICHLET_ALPHA"": 0.10901717662568328, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0912428629354902, ""PROB_FLOOR"": 0.0007254764176798595}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,118,23.380688,0.485384,95.937500,"{""DIRICHLET_ALPHA"": 0.14558814675338605, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9185165216371155, ""PROB_FLOOR"": 0.002072956469214157}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,247,23.353078,0.485794,95.937500,"{""DIRICHLET_ALPHA"": 0.10998631193659548, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.007650310871239, ""PROB_FLOOR"": 0.00010088338074960898}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,18,23.342712,0.485867,95.937500,"{""DIRICHLET_ALPHA"": 0.19886185060051323, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8529449079004022, ""PROB_FLOOR"": 0.0033818704748287166}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,113,23.334710,0.485972,95.937500,"{""DIRICHLET_ALPHA"": 0.18417175078514245, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8880382992919739, ""PROB_FLOOR"": 0.00015643517173876813}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,220,23.333550,0.485977,95.937500,"{""DIRICHLET_ALPHA"": 0.15167686021195576, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9695774604475622, ""PROB_FLOOR"": 0.0008183934706749871}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,178,23.332372,0.485977,95.937500,"{""DIRICHLET_ALPHA"": 0.10308200683927593, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1321625461936051, ""PROB_FLOOR"": 0.002978817246010967}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,155,23.328701,0.486021,95.937500,"{""DIRICHLET_ALPHA"": 0.08232223180353229, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.228409781423238, ""PROB_FLOOR"": 0.002135205091403762}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,25,23.328454,0.486148,95.937500,"{""DIRICHLET_ALPHA"": 0.06614547660768177, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1913612293072664, ""PROB_FLOOR"": 0.00013617466196972857}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,281,23.323193,0.486138,95.937500,"{""DIRICHLET_ALPHA"": 0.2010468535144908, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8549879511764853, ""PROB_FLOOR"": 0.0015722773359602188}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,297,23.321090,0.486159,95.937500,"{""DIRICHLET_ALPHA"": 0.17429489761448255, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.915148600221822, ""PROB_FLOOR"": 0.0006036689449905663}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,31,23.312169,0.486284,95.937500,"{""DIRICHLET_ALPHA"": 0.17711689001865666, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9109248410852674, ""PROB_FLOOR"": 0.001062085387739724}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,249,23.293357,0.486532,95.937500,"{""DIRICHLET_ALPHA"": 0.12748048156172995, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.05326694232515, ""PROB_FLOOR"": 0.0005836017295970502}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,4,23.288222,0.486741,95.937500,"{""DIRICHLET_ALPHA"": 0.09899152581581949, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0301543751582267, ""PROB_FLOOR"": 0.013538154759071884}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,142,23.286740,0.486761,95.937500,"{""DIRICHLET_ALPHA"": 0.15542204263545464, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8706631668057595, ""PROB_FLOOR"": 0.006972815355632428}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,87,23.286122,0.486770,95.937500,"{""DIRICHLET_ALPHA"": 0.15266407930154843, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8766235427820712, ""PROB_FLOOR"": 0.00021686949173863146}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,219,23.267324,0.486887,95.937500,"{""DIRICHLET_ALPHA"": 0.09352754161828343, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.191112451852765, ""PROB_FLOOR"": 0.009176831206992376}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,119,23.256403,0.487055,95.937500,"{""DIRICHLET_ALPHA"": 0.13543162612314946, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.036394061192491, ""PROB_FLOOR"": 0.005715099515030217}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,270,23.240662,0.487435,95.937500,"{""DIRICHLET_ALPHA"": 0.1317502483796904, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9191775745768312, ""PROB_FLOOR"": 0.019102107932906683}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,296,23.239829,0.487447,95.937500,"{""DIRICHLET_ALPHA"": 0.10458567582234846, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0008823931532016, ""PROB_FLOOR"": 0.0002002396114847203}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,259,23.219422,0.487600,95.937500,"{""DIRICHLET_ALPHA"": 0.21480867024216801, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8518965571647495, ""PROB_FLOOR"": 0.0026544460242444085}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,148,23.211114,0.487710,95.937500,"{""DIRICHLET_ALPHA"": 0.18630906206443879, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9120851969764363, ""PROB_FLOOR"": 0.0002779684011097653}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,210,23.201511,0.488005,95.937500,"{""DIRICHLET_ALPHA"": 0.14331081043306335, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8839277089247328, ""PROB_FLOOR"": 0.006994191355187142}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,14,23.200111,0.487845,95.937500,"{""DIRICHLET_ALPHA"": 0.11491646052935937, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.117925597873004, ""PROB_FLOOR"": 0.008225453488118033}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,204,23.198088,0.487882,95.937500,"{""DIRICHLET_ALPHA"": 0.14274491257870606, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0260354798109474, ""PROB_FLOOR"": 0.0031947401647858045}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,157,23.181882,0.488292,95.937500,"{""DIRICHLET_ALPHA"": 0.1320046572272661, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9093755959680232, ""PROB_FLOOR"": 0.000849726374999468}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,23,23.171259,0.488445,95.937500,"{""DIRICHLET_ALPHA"": 0.08294802353502692, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0736828642981653, ""PROB_FLOOR"": 0.00011772833975844341}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,276,23.170022,0.488464,95.937500,"{""DIRICHLET_ALPHA"": 0.15297130592457459, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8572642175657456, ""PROB_FLOOR"": 0.00034036527149110854}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,53,23.166358,0.488340,95.937500,"{""DIRICHLET_ALPHA"": 0.16826143232605642, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9624935135356033, ""PROB_FLOOR"": 0.004699889127560382}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,16,23.165466,0.488333,95.937500,"{""DIRICHLET_ALPHA"": 0.10299481096724186, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1719057429987207, ""PROB_FLOOR"": 0.0004604204861115462}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,0,23.131112,0.489033,95.937500,"{""DIRICHLET_ALPHA"": 0.1, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0, ""PROB_FLOOR"": 0.01}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,108,23.128697,0.489067,95.937500,"{""DIRICHLET_ALPHA"": 0.0888066892011253, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0423641713200313, ""PROB_FLOOR"": 0.0017041193844872851}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,284,23.126197,0.489097,95.937500,"{""DIRICHLET_ALPHA"": 0.05282602283723942, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.2346198518164129, ""PROB_FLOOR"": 0.00028770445290170904}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,187,23.123627,0.488936,95.937500,"{""DIRICHLET_ALPHA"": 0.12838959420416, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0845780692059184, ""PROB_FLOOR"": 0.00015612241819174338}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,40,23.118882,0.488999,95.937500,"{""DIRICHLET_ALPHA"": 0.11370232954602488, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1377851823803746, ""PROB_FLOOR"": 0.0027721091964403766}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,275,23.118215,0.489025,95.937500,"{""DIRICHLET_ALPHA"": 0.16926905119848445, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9679020772811052, ""PROB_FLOOR"": 0.008382313639861933}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,244,23.116529,0.489245,95.937500,"{""DIRICHLET_ALPHA"": 0.08501678776686014, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.056435120502845, ""PROB_FLOOR"": 0.00013098124372233353}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,171,23.085319,0.489505,95.937500,"{""DIRICHLET_ALPHA"": 0.21207837064947116, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8788236588291775, ""PROB_FLOOR"": 0.00013421659255052825}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,260,23.067685,0.489753,95.937500,"{""DIRICHLET_ALPHA"": 0.19550497315246818, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.915097394441983, ""PROB_FLOOR"": 0.009281764520492388}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,21,23.035388,0.490196,95.937500,"{""DIRICHLET_ALPHA"": 0.1230630894743518, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1173611847161886, ""PROB_FLOOR"": 0.0019954600843172087}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,36,23.032090,0.490241,95.937500,"{""DIRICHLET_ALPHA"": 0.11784676051450928, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1367560756635982, ""PROB_FLOOR"": 0.00042282006850390185}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,151,23.031733,0.490274,95.937500,"{""DIRICHLET_ALPHA"": 0.22219497072803612, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8669402206320668, ""PROB_FLOOR"": 0.004285781795008301}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,106,23.010395,0.490799,95.937500,"{""DIRICHLET_ALPHA"": 0.10107137913446294, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9809982257650182, ""PROB_FLOOR"": 0.0037775454172864795}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,149,22.999746,0.490723,95.937500,"{""DIRICHLET_ALPHA"": 0.18037712734751293, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9583035005271201, ""PROB_FLOOR"": 0.017966811246346984}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,104,22.991484,0.491076,95.937500,"{""DIRICHLET_ALPHA"": 0.12469054576569898, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9059073643815827, ""PROB_FLOOR"": 0.0009095897291518757}"
